fail_type,category,session_cnt,ratio
explore_fail,Apparel,69607,0.378
explore_fail,Shop_by_Brand,33573,0.1823
explore_fail,Lifestyle,24527,0.1332
explore_fail,Clearance,13834,0.0751
explore_fail,New,12197,0.0662
explore_fail,Stationery,10801,0.0587
explore_fail,Campus_Collection,8766,0.0476
explore_fail,eco_friendly,7776,0.0422
explore_fail,Accessories,1678,0.0091
explore_fail,Office,1070,0.0058
explore_fail,Gift_Cards,169,0.0009
explore_fail,Electronics,157,0.0009
instantly_fail,Apparel,1882,0.3587
instantly_fail,Shop_by_Brand,1657,0.3158
instantly_fail,Lifestyle,596,0.1136
instantly_fail,Electronics,403,0.0768
instantly_fail,Accessories,321,0.0612
instantly_fail,New,204,0.0389
instantly_fail,Office,96,0.0183
instantly_fail,Clearance,41,0.0078
instantly_fail,Gift_Cards,13,0.0025
instantly_fail,eco_friendly,13,0.0025
instantly_fail,Campus_Collection,11,0.0021
instantly_fail,Stationery,10,0.0019
pass_to_view_item,Apparel,63650,0.3675
pass_to_view_item,Lifestyle,26902,0.1553
pass_to_view_item,Clearance,13476,0.0778
pass_to_view_item,Accessories,12111,0.0699
pass_to_view_item,Shop_by_Brand,12055,0.0696
pass_to_view_item,New,10677,0.0617
pass_to_view_item,Stationery,10097,0.0583
pass_to_view_item,Campus_Collection,9736,0.0562
pass_to_view_item,eco_friendly,7748,0.0447
pass_to_view_item,Office,6188,0.0357
pass_to_view_item,Electronics,454,0.0026
pass_to_view_item,Gift_Cards,91,0.0005
